hostname,bv,rhk,li,teff,prot,ruwe
Kepler-229,0.9300000071525574,,,4899.8123615625,16.164091281433105,1.009257
K2-222,0.5827500075101852,,,5834.851323486756,,0.9675635095367432
K2-214,0.6340000033378601,,,5719.357633446881,,1.1366830203450522
K2-220,0.6990000009536743,,,5466.541675640528,,1.2641559930063884
K2-216,1.0870000123977661,,,4537.93187519363,,1.407637011920929
K2-212,1.3009999990463257,,,4221.415815357068,36.099998474121094,1.095963
K2-151,1.4639999866485596,,,3554.592338644541,44.75,1.064100521457672
K2-295,1.125,,,4358.456168324442,,1.0323879952316284
K2-282,0.8320000171661377,,,5334.756781285296,,0.958856
K2-283,1.0709999799728394,,,4815.825921819657,27.040000915527344,0.9758815000000001
K2-281,1.1069999933242798,,,4655.591045807997,30.110000610351562,0.970849
K2-387,1.4980000257492065,,,3820.1401655517575,30.040000915527344,1.049856
K2-156,1.2130000591278076,,,4441.909032494274,,0.9874240143051147
K2-157,0.7860000133514404,,,5385.979619270834,,0.9532985047683715
K2-158,0.753000020980835,,,5251.651774681229,,1.4098409856948853
K2-244,0.6019999980926514,,,5693.832439648438,,1.117112
Kepler-108,0.7519999742507935,,,5512.766945857989,79.19999694824219,1.1399999856948853
K2-159,0.7480000257492065,,,5257.982994998921,19.93000030517578,1.2588489895095825
K2-160,0.6549999713897705,,,5672.6303715049335,,0.956026
K2-161,0.9509999752044678,,,4890.179863192881,,1.0122634809265136
K2-162,1.0089999437332153,,,4607.400008647628,14.763789633514405,1.017547
K2-163,1.0,,,4637.3644163813715,,1.1799980071525575
K2-165,0.8349999785423279,,,5144.727335814145,,1.0491565021457672
Kepler-477,0.703000009059906,,,5104.136911541666,11.11991,
EPIC 201595106,0.703000009059906,,,5687.651247558594,,0.8609105069141387
K2-166,0.5669999718666077,,,5953.4611110008445,,1.020091
K2-175,0.695250004529953,,,5830.160949386161,,0.9641360021457672
K2-176,0.8560000061988831,,,5219.494527761268,,1.0640314952316285
K2-177,0.8970000147819519,,,5829.715356277742,,0.9679210143051147
Kepler-9,0.6800000071525574,,,5689.653593579911,16.866499662399292,0.9725819952316284
K2-185,0.6629999876022339,,,5572.110976162551,17.299999237060547,1.2433920071525573
K2-263,0.7419999837875366,,,5354.932552223558,,1.0122524969005586
K2-186,0.6489999890327454,,,5762.579552762957,,0.979399
K2-341,,,,5819.870064329802,,0.9411809988079072
K2-188,0.5730000138282776,,,5774.248232648407,,0.9436696623751323
K2-189,0.7129999995231628,,,5455.618321917691,,1.1647540190734862
K2-190,0.6570000052452087,,,5424.260375548954,,1.0623165286102294
K2-195,0.6359999775886536,,,5696.2020824445235,,1.0090929940395355
K2-196,0.5830000042915344,,,6037.380299189816,,1.0698910262260437
Kepler-42,1.9190000295639038,,,3570.207527907986,,1.108845
K2-201,0.796999990940094,,,5209.165790501645,,0.996456010728836
K2-202,0.9449999928474426,,,5342.895542459239,,0.9163839880790711
K2-382,0.8069999814033508,,,5543.759458984376,,0.923324
K2-383,0.9539999961853027,,,5081.087495117187,29.440000534057617,0.874791
K2-203,0.8550000190734863,,,4856.4201395930995,,1.0725796911443075
K2-204,0.6340000033378601,,,5624.820614503049,,0.9813379761581421
K2-205,0.6060000061988831,,,5713.535061469245,,1.0957909947547912
K2-206,0.8569999933242798,,,4845.401125195192,,0.923261989271164
K2-207,0.7400000095367432,,,5276.072572518088,,1.0113904940395355
K2-208,0.7250000238418579,,,5362.326812118788,21.309999465942383,0.9321303352406819
K2-209,,,,4700.268132267461,,1.012252
K2-210,0.9179999828338623,,,5339.00431066932,,0.9525239876022339
K2-211,0.9369999766349792,,,5056.513348840426,,0.9790303317438761
K2-213,0.6859999895095825,,,5831.507192897042,,1.074441011920929
K2-215,0.7350000143051147,,,5450.429763546959,,0.9858646685740154
K2-217,0.6269999742507935,,,5834.6220523664315,,1.2387613241144815
K2-218,0.7179999947547913,,,5470.197527782381,,1.0480659767939249
K2-219,0.6959999799728394,,,5708.013765355604,,0.8835954983310699
K2-221,0.6930000185966492,,,5476.776144033947,,0.9818700036557515
K2-223,0.699999988079071,,,5776.483514648438,,0.9356920054836273
K2-224,0.6759999990463257,,,5634.363537760417,10.0600004196167,0.9664305019073486
K2-225,0.781000018119812,,,5509.551477395833,,1.164137
K2-226,0.8859999775886536,,,5234.641210347639,,1.0289744713897706
K2-227,0.6809999942779541,,,5405.344206819306,,1.0532670262260437
K2-228,1.1169999837875366,,,4611.186323880208,18.350000381469727,2.93394
K2-229,0.9415486905250244,,,5202.497211351351,19.8149995803833,0.9511659856948853
K2-230,0.5920000076293945,,,5920.011944444444,,1.0192900100135804
EPIC 229004835,0.6269999742507935,,,5813.662667613636,,1.028968
K2-259,0.6169999837875366,,,5967.1682070572915,,0.9641815047683715
K2-80,0.9300000071525574,,,5118.383515812226,,1.1139825214576722
EPIC 228836835,,,,3711.3831748046873,,1.057072
K2-331,0.3490000069141388,,,5753.297884921875,,1.064879
K2-333,0.6190000176429749,,,5806.662593661222,21.204292,1.061243497138977
K2-334,0.47999998927116394,,,6055.846982939862,,1.1657556606267294
K2-342,0.7149999737739563,,,5821.056571237664,,1.051207
K2-343,,,,3765.7736577713817,35.849998474121094,0.975645
K2-344,1.5160000324249268,,,3807.8442386093852,,1.0502439952316283
K2-348,0.9779999852180481,,,4817.999232296236,,1.1168525166893004
K2-352,0.6470000147819519,,,5743.663017469617,,1.285277009059906
G 9-40,1.656000018119812,,,3671.8155928223155,,1.2295614761581422
HD 80653,0.6809999942779541,,,5872.470373372395,,1.15592449666214
Kepler-21,0.5052222079700894,,,6054.84637684083,12.581444316440159,1.0631639761581422
Kepler-8,0.32500000298023224,,,6198.282296439733,25.113135672340395,0.926129
KOI-984,0.6399999856948853,,,5275.092109541477,8.07200002670288,1.006338
Kepler-505,1.375,,,3867.562647647166,37.64999961853027,1.025997
Kepler-745,,,,5594.2063434083575,18.22000026702881,0.9817344892711639
Kepler-262,,,,5520.800978077747,40.38999938964844,1.0166339809265137
Kepler-748,,,,5626.89425378121,18.600000381469727,0.9816005143051147
Kepler-264,,,,6078.171607121749,14.183999824523926,1.0263969809265137
HD 73344,0.5377574216459435,-4.710000038146973,,6092.558313967045,7.324999809265137,0.956306
Kepler-1732,,,,5740.686018419287,24.093332926432293,0.9805024892711639
Kepler-263,0.8849999904632568,,,5050.410012646346,25.63034613555908,1.0344564856948852
K2-368,0.984000027179718,,,4605.298975781151,,0.9854074952316284
Kepler-1733,,,,6231.393573153409,7.670000076293945,1.034502
Kepler-754,,,,5704.479998127951,21.350000381469727,1.0562480214576722
K2-373,0.585499994456768,,,6007.0444041406245,,0.9286774921321869
Kepler-753,1.2949999570846558,,,4193.854699999464,21.857428686959402,0.9989149904632568
K2-339,0.9490000009536743,,,4618.997305025356,11.1899995803833,0.9394869940395355
Kepler-752,,,,5526.835501143973,55.84000015258789,0.909325
Kepler-766,,,,5805.472119168527,15.4399995803833,1.034327
Kepler-771,,,,5660.287637494391,61.779998779296875,0.9205235083446502
EPIC 212624936,0.7540000081062317,,,5587.894395263157,,0.9286560023841858
Kepler-773,,,,5696.528148533916,79.98999786376953,0.9642999988079071
K2-379,1.128000020980835,,,4495.340290119762,24.219999313354492,0.9603515011920929
K2-380,0.7310000061988831,,,5817.7800172014595,,0.8141150143051148
Kepler-767,,,,5614.941058472335,58.369998931884766,1.0182810047683715
Kepler-260,0.7599999904632568,,,5358.854723498128,19.139555825127495,1.0843624713897704
Kepler-268,,,,5987.3676625562475,68.27999877929688,0.978936
K2-384,,,,3559.582216796875,,1.224412
K2-385,0.9309999942779541,,,4674.491627129175,,1.040308489271164
Kepler-1736,0.7360000014305115,,,5721.473783624878,73.0999984741211,1.0613874713897706
K2-386,0.7080000042915344,,,5577.068335020334,,0.869040324432373
Kepler-774,,,,6348.39634679796,39.14999961853027,1.0041229892711638
Kepler-772,,,,5501.512801657341,65.62000274658203,0.9990195095367431
K2-268,0.921999990940094,,,4924.047650140838,,1.0505735
K2-393,0.7110000252723694,,,5461.977052201065,,1.0460046723887126
K2-394,1.215999960899353,,,4470.023544609374,28.56999969482422,1.0974275071525574
Kepler-119,0.6019999980926514,,,5520.324559174107,32.849998474121094,1.015759
Kepler-770,,,,5337.910259547601,29.049999237060547,0.9553914988079071
CoRoT-10,,,0.0391,4830.538069891827,,1.068832
CoRoT-11,0.6330000162124634,,,6277.499,,1.006222
CoRoT-12,0.8640000224113464,,,5621.57752390625,,0.935806
CoRoT-13,,,,5813.140519140625,13.0,1.023897
CoRoT-14,0.9390000104904175,,,5641.599463404605,,1.063905
CoRoT-17,1.5,,,5273.6493666666665,20.100000381469727,0.97829
CoRoT-18,0.7860000133514404,,,5389.063386045259,5.248000144958496,1.003219
CoRoT-19,0.828000009059906,,,5912.399266666666,,0.97831
CoRoT-1,0.5764999985694885,,,6140.0394796875,,0.843226
CoRoT-20,0.8255000114440918,,,5461.749427272727,,0.988436
CoRoT-23,1.2519999742507935,,,5406.9319444444445,9.199999809265137,0.954458
CoRoT-2,0.8792499899864197,,,5523.654183775436,,0.88605
CoRoT-3,0.8350000083446503,,,6382.034966555059,,0.970131
CoRoT-4,0.5899999737739563,,,6139.063403936298,,1.045549
CoRoT-5,0.6175000071525574,,,6117.331136363637,,0.96527
CoRoT-6,0.7879999876022339,,,6009.7919,,1.012431
CoRoT-7,0.912011894203833,,0.0217,5185.1453374214625,,0.9550715143051147
Kepler-24,,,,5776.233607238706,9.62375009059906,1.0380059856948853
CoRoT-8,1.375,,,4894.911442105263,,0.88778
CoRoT-9,0.8410000205039978,,,5398.483554053817,,0.9127344940395355
GJ 1214,,,,3310.7833333333333,,0.918621
HAT-P-12,0.42899999767541885,,,4544.365664985166,,1.0783770262260437
HAT-P-13,0.6934999972581863,,,5679.179007567402,,1.0522925
HAT-P-14,0.4414277237295659,,,6575.960660449728,,1.106705
HAT-P-15,0.8390000065167745,,,5341.695807081653,,0.829427
HAT-P-16,0.5617500022053719,,,6132.403107313368,,0.8124610021457672
HAT-P-17,0.8586666584014893,,,5299.198830396076,,0.947198
Kepler-123,0.492000013589859,,,6138.922729910715,20.239999771118164,0.983319
Kepler-769,,,,6078.173318603515,11.4399995803833,0.940362
HAT-P-18,1.0259999632835388,,,4701.291080675667,,1.0064343326975504
HAT-P-19,0.9810000061988831,,,4943.5885760742185,,0.905962
HAT-P-1,0.8373333215713501,,,5982.331152803309,,1.108816
HAT-P-20,1.2014999985694885,,,4478.564119902576,6.400000095367432,1.1059984833106995
HAT-P-21,0.8526666760444641,,,5622.446901220704,15.899999618530273,1.0901330200271606
HAT-P-22,0.8375819301100647,,,5318.496011333749,,1.0239830143051147
HAT-P-23,0.9115000069141388,,,5759.336941511536,7.5,0.8922713428700765
HAT-P-24,0.46333332856496173,,,6350.864032109375,,0.985602
HAT-P-25,0.9303333361943563,,,5324.510175619612,,0.838222
HAT-P-26,0.7916666666666666,,,5046.99459034242,,0.801164
HAT-P-27,0.9020000100135803,,,5246.679496553309,,0.87218
HAT-P-28,0.7824999988079071,,,5594.454921938344,,1.022026
HAT-P-29,0.5926666756470998,,,6015.328345630787,,0.878914
HAT-P-2,0.4527635932984886,,,6251.778244671196,,0.9650815083446502
HAT-P-30,0.5558000087738038,,,6267.518284096928,,0.970567
HAT-P-31,0.5093333224455515,,,5976.233947429435,,1.090912
HAT-P-32,0.45500000317891437,,,6265.364165680803,,0.797508
HAT-P-33,0.4359999932348728,,,6523.011966336806,,1.016743
HAT-P-34,0.39392965834824223,,,6534.9784455542285,,0.882351
Kepler-1735,1.3899999856948853,,,3926.797259034455,39.85466639200846,1.05374
HAT-P-35,0.8060000141461691,,,6123.904902994791,,1.147504
HAT-P-36,0.8189999858538309,,,5458.852125982815,15.300000190734863,0.9770000027020772
HAT-P-37,0.3230000138282776,,,5476.862126188859,7.3554999977350235,1.181976
HAT-P-3,0.7650000005960464,,,5102.27849835778,,1.100434
HAT-P-4,0.703000009059906,,,5930.474162049788,,0.97916
HAT-P-5,0.7960000038146973,,,5836.890890836148,,0.9222900107288361
HAT-P-6,0.4074999988079071,,,6651.810011064188,,1.076466
HAT-P-8,0.47349999845027924,,,6234.083584687501,,1.059623
HAT-P-9,0.3387499996460974,,,6244.316697040342,,1.0830275133514404
Kepler-765,,,,5833.890499832589,60.34000015258789,0.9896549895095825
Kepler-763,0.8799999952316284,,,4959.2361145625,41.35000038146973,0.90715
Kepler-744,0.6290000081062317,,,5609.517945442709,20.709999720255535,2.039412
Kepler-764,,,,5576.095632059152,43.060001373291016,0.956675
Kepler-112,,,,5580.642572570801,27.15712988555908,0.991339
Kepler-267,1.4049999713897705,,,3915.0232558139537,22.11899979909261,1.078228
Kepler-762,0.6499999761581421,,,6010.651283383523,4.036249995231628,0.944465
Kepler-1713,0.5384999960660934,,,6244.9632441580425,5.297200012207031,0.9625313331743875
Kepler-781,0.8399999737739563,,,5050.900915583309,18.960674568210177,0.9973205047683715
Kepler-783,0.6880000233650208,,,5472.111742862818,26.89666684468587,1.003484
Kepler-1738,0.5070000290870667,,,5786.955433528646,12.460000038146973,1.08707
Kepler-1737,,,,4971.361111111111,57.52000045776367,
Kepler-272,0.75,,,5308.264509622396,47.5,1.011369
Kepler-273,0.7549999952316284,,,5401.963950090842,28.81999969482422,1.015727
Kepler-1739,0.7570000290870667,,,5631.227382907196,26.829999923706055,1.072133
Kepler-782,0.6010000109672546,,,5698.5537474646335,82.74177697184244,0.9603509961853027
Kepler-746,,,,5174.254811456743,58.459999084472656,24.9356975803833
Lupus-TR-3,,,,3678.7975251953126,,
OGLE2-TR-L9,,,,6718.427094444445,,0.91342
OGLE-TR-111,0.9330000281333923,,,4734.4327497395825,,0.978297
OGLE-TR-113,1.0199999809265137,,,4676.961263157895,,1.062681
OGLE-TR-132,,,,5921.298404882813,,0.959593
OGLE-TR-182,,,,5526.942650234375,,0.996679
OGLE-TR-211,,,,6056.625557648026,,1.721961
OGLE-TR-56,,,,5713.337057771382,,
Kepler-743,0.7209999958674113,,,5325.971373448016,19.16517450035682,0.969990988079071
Qatar-1,0.8270000219345093,,,4872.180112858952,,1.045477497138977
Qatar-2,1.1794999837875366,,,4547.06178191636,18.25,0.907849
SWEEPS-4,,,,,,1.815026
SWEEPS-11,,,,,,
TrES-1,0.7369999885559082,,,5285.910265905449,,0.821033
TrES-3,0.6947500109672546,,,5535.940241659628,,0.981778502861023
TrES-4,0.4899999996026357,,,6131.813636991279,,0.9388184904632568
TrES-5,0.7070000171661377,,,5133.538916666667,,0.883117
WASP-10,1.0964999794960022,,,4709.869257924108,1.09176,1.087394
WASP-11,0.9903333187103271,,,4886.430959895833,,3.443668988555908
WASP-12,0.5726666649182638,,,6229.396236700149,,0.879392
WASP-14,0.443305045937619,,,6450.211169176432,,1.02172
WASP-15,0.4814999997615814,,,6354.84956635842,,1.1009125190734863
WASP-16,0.9614999890327454,,,5625.400468582613,,1.0686900244776407
WASP-17,0.31949999555945396,,,6551.353709037642,,1.24586
WASP-18,0.47700000351125543,,,6381.271506846796,0.891369,0.9232849940395356
WASP-19,0.659799998998642,,,5513.694080891927,11.760000228881836,0.986986
WASP-1,0.6496666669845581,,,6173.243653545674,,1.339747
Kepler-747,0.9399999976158142,,,5031.962578571429,74.82333374023438,0.986134
WASP-21,0.5810000002384186,,,5890.127772522866,,1.05873
WASP-22,0.4842499941587448,,,6045.026045599489,,1.5829299818801879
WASP-24,0.6599999964237213,,,6183.666941290509,,0.915649
WASP-26,0.46424999088048935,,,5917.814509140625,,0.8978099957084655
WASP-28,0.5590000152587891,,,5881.601641162858,,0.950911339691162
WASP-29,1.0026666522026062,,,4874.212545279948,,1.098121
WASP-2,0.8547499924898148,,,5136.520242378049,,1.819183
WASP-31,0.42900000512599945,,,6301.0151171875,,1.0773604854564667
WASP-32,0.6463333368301392,,,6174.546448046285,,1.4594105200271605
WASP-33,0.35114285349845886,,,7367.92386111111,,0.875715
WASP-34,0.6864999979734421,,,5706.067172178819,34.0,0.9259590143051147
WASP-35,0.5352500006556511,,,5964.664551528533,,0.9447750143051148
WASP-36,0.5064999908208847,,,5878.912515776691,14.399999618530273,0.9544133371480307
WASP-37,0.6215000152587891,,,5829.856490225694,21.0,1.076565
WASP-38,0.5349999904632569,,,6205.062576543899,,1.062739
WASP-39,0.7990000049273173,,,5418.335025801809,,0.9837044713897705
WASP-3,0.44299999872843426,,,6349.705839973958,,1.004375
WASP-41,0.7403333385785421,,,5483.794342952807,18.40999984741211,1.1122676456858318
WASP-43,1.2306666771570842,,,4364.465960260417,,1.084846
WASP-44,0.7689999938011169,,,5438.829970863971,15.0,0.9739814852180482
WASP-45,1.1974999904632568,,,5178.096942742599,,1.198694
WASP-46,0.656000018119812,,,5679.443454494989,16.0,1.0323705143051147
WASP-48,0.6430000066757202,,,6154.308766638514,,0.8064374978542328
WASP-50,0.843666672706604,,,5462.01664493096,9.091999689737955,0.993142495470047
WASP-5,0.6022500097751617,,,5724.887415564904,16.200000762939453,1.0793850038146973
WASP-6,0.9025000035762787,,,5393.781009765625,,0.982829493801117
WASP-7,0.42233332991600037,,,6553.635730149148,,0.9196734928474426
WASP-8,0.7293333311875662,,,5586.02314241728,7.247000217437744,1.033169999523163
XO-1,0.5890000015497208,,,5709.515580486918,,1.0423764895095826
XO-2 N,0.8516666889190674,,,5221.360895341048,,0.8480365000000001
XO-3,0.3850551438237213,,,6645.345676813244,,1.022822
XO-4,0.42625000327825546,,,6291.031834651693,,0.967806
XO-5,0.7985000014305115,,,5453.2555485701,,1.111603015258789
CoRoT-16,,,,5133.751882352942,,1.014561
Kepler-471,0.6510000228881836,,,6492.854700000001,,0.956591
Kepler-749,,,,4938.309682747396,13.918585228881836,1.047956
WASP-23,0.8976666529973348,,,5083.788552016129,,1.025735
HATS-1,0.6605000197887421,,,5940.402939438474,,0.9956630190734863
WASP-78,0.5929999947547913,,,6305.00324748264,,1.0682376733423868
Kepler-750,0.6809999942779541,,,5971.985626374421,69.08000183105469,1.079049
WASP-79,0.4162000000476837,,,6690.9769527836015,,1.1356494928474428
KELT-1,0.5086666544278463,,,6450.928575727983,,1.102529
KELT-2 A,0.5905903033497971,,,6125.961893851351,,0.959254
Kepler-36,0.621999979019165,,,5831.45699513001,17.470000743865967,0.9018150004768372
HAT-P-39,0.44599999487400055,,,6436.603234514509,,1.05518
HAT-P-40,0.7166000008583069,,,6058.239961516204,,1.08376
HAT-P-41,0.5074999928474426,,,6336.504642566288,,0.9945070071525574
WASP-42,0.9524999856948853,,,5167.916626897321,,0.9853460007152557
Kepler-751,,,,5378.208996450892,27.502129683925084,0.966352
WASP-47,0.7639999985694885,,,5424.497719251003,,1.1568006920979819
WASP-49,0.6733333269755045,,,5492.41295517113,50.0,0.91334
WASP-55,0.7730000019073486,,,5971.409017457505,,0.9726744952316284
WASP-61,0.4324999898672104,,,6273.656846896308,,0.9005676564941406
WASP-62,0.507666657368342,,,6165.580263015954,,0.9570120143051147
WASP-63,0.6676666736602783,,,5601.738752005912,37.0,0.9807634897480011
WASP-66,0.43549999594688416,,,6646.8223921638255,,1.7348329828338622
WASP-67,0.6075000166893005,,,5219.544058972538,,0.9441634973773956
HAT-P-38,0.8326666553815206,,,5273.677904261282,,1.11508
Kepler-47,0.8510000109672546,,,5513.450283632018,7.769999980926514,0.999756
WTS-1,0.5,,,6041.363057477678,,1.088919
WASP-54,0.5858000040054321,,,6004.3574421859375,,0.9796125143051148
WASP-56,0.9800000190734863,,,5648.30529757179,32.58000183105469,0.8585959861717224
WASP-57,0.6443333228429159,,,5709.639857638888,18.200000762939453,1.2173685276565551
WASP-52,0.8793333172798157,,,5041.152176450893,,1.027126
WASP-59,1.2486666440963745,,,4419.893360197369,,1.182381
WASP-60,0.6959999998410543,,,5887.388684979839,20.600000381469727,1.076119987602234
WASP-77 A,0.7390000025431315,,,5494.57885701651,,1.130339
WASP-64,0.6570000052452087,,,5568.087404715402,15.300000190734863,1.132583
WASP-72,0.5204999968409538,,,6125.377525491088,,1.4764500023841858
WASP-71,0.698500007390976,,,5965.7612815159855,,1.0180425095367431
PH1,0.44999998807907104,,,6567.040286860795,2.640000104904175,5.221839
KELT-3,0.4684999957680702,,,6455.871010892959,,0.884303
Kepler-116,0.5895000100135803,,,6255.750014632162,8.023746114440918,0.944865
Kepler-78,0.931049946940094,,,5049.06862382398,12.534545497547496,0.840146
POTS-1,,,,4298.661045028409,,1.04768
HATS-2,0.9120000004768372,,,5123.788785714286,,1.118833
HATS-3,0.2909999880939722,,,6204.69133052263,,1.0469485228881836
WASP-65,0.6740000247955322,,,5640.55162641369,17.899999618530273,1.1718529904632569
WASP-75,0.5974999964237213,,,5853.303371914137,,0.8690346653951009
HAT-P-42,0.6590000092983246,,,5866.175350694445,,1.2596054814033508
HAT-P-43,0.7569999992847443,,,5666.904359910714,23.0,1.030249
CoRoT-27,0.9469999670982361,,,5539.32210625,12.699999809265137,0.946617
WASP-103,0.5949999988079071,,,6043.367336072199,,6.243232
KELT-6,0.4975000023841858,,,6105.226268920075,,1.1202760023841858
Kepler-413,1.031000018119812,,,4783.6495422175485,13.03499984741211,0.977656
HAT-P-49,0.3267500102519989,,,6961.376814648438,,0.984078
WTS-2,,,,4949.738215745192,,3.578021
WASP-68,0.7560000022252401,,,5794.186627485796,,0.9889606814486186
WASP-73,0.5456666549046835,,,6048.764559397978,,0.9536955083446503
WASP-88,0.5764999985694885,,,6364.120218480604,,1.08689432157135
WASP-95,0.687666654586792,,,5754.643548477564,10.802472881469727,0.8485959961853027
WASP-96,0.7355000078678131,,,5551.994471801758,35.0,1.0961494856948852
WASP-97,0.6973333358764648,,,5672.724567675781,,0.985306
WASP-98,0.6830000281333923,,,5495.209099888392,,0.925809
